Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-04 09-AM,ETHUSD,845,848.12,844.99,848.12,631.98,535027.78
2018-03-04 08-AM,ETHUSD,839.25,845,836.37,845,1799.18,1512945.25
2018-03-04 07-AM,ETHUSD,840.69,840.69,836.6,839.25,1487.81,1248351.86
2018-03-04 06-AM,ETHUSD,846,846.01,836.79,840.69,3258.68,2744774.93
2018-03-04 05-AM,ETHUSD,847.02,847.02,846,846,663.63,561961.13
2018-03-04 04-AM,ETHUSD,846.34,847.62,846.34,847.02,1893.51,1603716.24
2018-03-04 03-AM,ETHUSD,850.01,850.02,845.3,846.34,1933.96,1638511.96
2018-03-04 02-AM,ETHUSD,853.75,853.76,849.99,850.01,1427.69,1215922.58
2018-03-04 01-AM,ETHUSD,853.69,853.9,853.51,853.75,551.61,470973.75
2018-03-04 12-AM,ETHUSD,854.34,854.67,853.06,853.69,1233.53,1052996.57
2018-03-03 11-PM,ETHUSD,855.85,857.75,852.24,854.34,1348.59,1152878.48
2018-03-03 10-PM,ETHUSD,853.59,855.86,853.59,855.85,739.67,632465.64
2018-03-03 09-PM,ETHUSD,851.59,854.34,851.58,853.59,1219.8,1040478.47
2018-03-03 08-PM,ETHUSD,858.86,859.93,851.04,851.59,3134.03,2680428.28
2018-03-03 07-PM,ETHUSD,860,860.28,858.77,858.86,1247.82,1072678.32
2018-03-03 06-PM,ETHUSD,861,861.99,860,860,1746.55,1503860.99
2018-03-03 05-PM,ETHUSD,861.99,862,860.05,861,1372.41,1182135.24
2018-03-03 04-PM,ETHUSD,862.07,863.12,861.99,861.99,1163.86,1003533.62
2018-03-03 03-PM,ETHUSD,860.99,863,860,862.07,1350.62,1162955.4
2018-03-03 02-PM,ETHUSD,866,866,860,860.99,1599.97,1380465.23
2018-03-03 01-PM,ETHUSD,866.68,866.72,866,866,904.4,783447.61
2018-03-03 12-PM,ETHUSD,863.1,866.72,862.67,866.68,988.07,854510.29
2018-03-03 11-AM,ETHUSD,862.21,863.2,861.52,863.1,528.69,456153.07
2018-03-03 10-AM,ETHUSD,861.86,863.4,861.73,862.21,442.39,381632.84
2018-03-03 09-AM,ETHUSD,862.1,863.14,860.27,861.86,704.43,606896.86
2018-03-03 08-AM,ETHUSD,858,862.91,856.93,862.1,718.14,617326.53
2018-03-03 07-AM,ETHUSD,862.47,862.47,858,858,660.73,568961.48
2018-03-03 06-AM,ETHUSD,862,863.1,860.5,862.47,1394.07,1202270.57
2018-03-03 05-AM,ETHUSD,862.92,862.92,860,862,1737.99,1497114.46
2018-03-03 04-AM,ETHUSD,859.99,862.92,859.98,862.92,982,845572.55
2018-03-03 03-AM,ETHUSD,862.77,862.92,856.07,859.99,2705.45,2326636.38
2018-03-03 02-AM,ETHUSD,863.2,864.5,860,862.77,2511.32,2167854.36
2018-03-03 01-AM,ETHUSD,858,863.49,857.99,863.2,2430.33,2094556.5
2018-03-03 12-AM,ETHUSD,854.31,858,854.3,858,1556.59,1331909.11
2018-03-02 11-PM,ETHUSD,855.98,859.04,854,854.31,1802.39,1543212.67
2018-03-02 10-PM,ETHUSD,856.2,856.25,854.99,855.98,1942.82,1662926.23
2018-03-02 09-PM,ETHUSD,856.91,857.75,853.51,856.2,2461.25,2106123.49
2018-03-02 08-PM,ETHUSD,848.69,856.97,848.69,856.91,2370.81,2024079.6
2018-03-02 07-PM,ETHUSD,855,856,846.97,848.69,4527.01,3850543.92
2018-03-02 06-PM,ETHUSD,855.24,855.57,853.46,855,1825.03,1559442.54
2018-03-02 05-PM,ETHUSD,854,856.4,853.97,855.24,1793.27,1533385.2
2018-03-02 04-PM,ETHUSD,855.06,855.85,852.96,854,1562.2,1334498.69
2018-03-02 03-PM,ETHUSD,853.42,855.17,853.4,855.06,2561.35,2188165.46
2018-03-02 02-PM,ETHUSD,861.68,862.39,853,853.42,2322.44,1988750.69
2018-03-02 01-PM,ETHUSD,862.68,863.7,861.5,861.68,1259.53,1086825.64
2018-03-02 12-PM,ETHUSD,859.1,862.84,859.09,862.68,1621.68,1396121.64
2018-03-02 11-AM,ETHUSD,859.1,859.1,858.81,859.1,692.28,594611.04
2018-03-02 10-AM,ETHUSD,862.14,862.35,858.99,859.1,1286.29,1107234.13
2018-03-02 09-AM,ETHUSD,869.51,869.99,862.1,862.14,1910.14,1651834.55
2018-03-02 08-AM,ETHUSD,868.76,870.75,866.67,869.51,729.69,634395.55
2018-03-02 07-AM,ETHUSD,871,871,868.74,868.76,672.6,584991.29
2018-03-02 06-AM,ETHUSD,868.75,871,868.74,871,878.27,764013.76
2018-03-02 05-AM,ETHUSD,869,869,867.4,868.75,736.02,638828.63
2018-03-02 04-AM,ETHUSD,870.88,872,865.03,869,1838.2,1597305.65
2018-03-02 03-AM,ETHUSD,872.02,873.12,870.5,870.88,1636.32,1426600.42
2018-03-02 02-AM,ETHUSD,872.89,872.89,871,872.02,1464.09,1276905.95
2018-03-02 01-AM,ETHUSD,868.17,872.89,867.15,872.89,2331.08,2028559.68
2018-03-02 12-AM,ETHUSD,868.74,872.79,864.99,868.17,3551.38,3088695.44
2018-03-01 11-PM,ETHUSD,869.18,870.21,868.33,868.74,1180.1,1025922.16
2018-03-01 10-PM,ETHUSD,868.43,870,864.5,869.18,2421.06,2098462.8
2018-03-01 09-PM,ETHUSD,875.99,876,868.04,868.43,2279.79,1989330.26
2018-03-01 08-PM,ETHUSD,872.36,876,871.93,875.99,2197.15,1921362.65
2018-03-01 07-PM,ETHUSD,875.8,876.85,869.11,872.36,2293.5,2002804.12
2018-03-01 06-PM,ETHUSD,872.44,878,872.43,875.8,3828.8,3352205.6
2018-03-01 05-PM,ETHUSD,865.97,875.53,865.43,872.44,2520.23,2192224.56
2018-03-01 04-PM,ETHUSD,863.21,865.99,861.65,865.97,1579.73,1365452.76
2018-03-01 03-PM,ETHUSD,864.71,865,861.5,863.21,1679.68,1448721.18
2018-03-01 02-PM,ETHUSD,866.93,869,862.41,864.71,3254.57,2819187.11
2018-03-01 01-PM,ETHUSD,863.29,868.1,861.95,866.93,1879.19,1625753.27
2018-03-01 12-PM,ETHUSD,867.78,867.78,863.29,863.29,1276.19,1104373.3
2018-03-01 11-AM,ETHUSD,870,870,866.02,867.78,938.87,815457.6
2018-03-01 10-AM,ETHUSD,865.38,870,864.72,870,1448.07,1257330.75
2018-03-01 09-AM,ETHUSD,868.12,868.12,863.7,865.38,1216.4,1053950.07
2018-03-01 08-AM,ETHUSD,861,868.12,861,868.12,3426.63,2961970.32
2018-03-01 07-AM,ETHUSD,857.58,861,857.56,861,2278.27,1960338.71
2018-03-01 06-AM,ETHUSD,858.04,858.31,855.46,857.58,696.97,597689.86
2018-03-01 05-AM,ETHUSD,858.46,859.4,855.16,858.04,1711.99,1467530.19
2018-03-01 04-AM,ETHUSD,856.86,859.82,856.86,858.46,2216.36,1903269.1
2018-03-01 03-AM,ETHUSD,854.37,857,853.54,856.86,1086.77,929417.86
2018-03-01 02-AM,ETHUSD,856.24,859.1,852.78,854.37,1720.5,1472528.27
2018-03-01 01-AM,ETHUSD,855.34,856.24,851.75,856.24,1941.41,1658473.61
2018-03-01 12-AM,ETHUSD,849.99,855.35,845.54,855.34,3827.07,3252068.11
2018-02-28 11-PM,ETHUSD,858.01,858.5,848.21,849.99,4672.09,3984596.21
